timestamp,user,action,final_risk_score,mitre_tag
2026-01-14 10:06,guest,privilegeescalation,69.0,TA0001
2026-01-14 11:47,guest,login,50.6,TA0002
2026-01-13 18:15,admin,usbinsert,116.1,T1059
2026-01-13 21:16,user1,usbinsert,87.0,T1059
2026-01-14 02:59,user2,privilegeescalation,98.7,TA0004
2026-01-14 17:04,admin,privilegeescalation,72.2,TA0004
2026-01-14 14:21,admin,dataexfil,23.5,TA0010
2026-01-14 02:39,admin,dataexfil,48.1,TA0010
2026-01-14 01:58,user1,privilegeescalation,101.8,TA0008
2026-01-14 04:26,guest,dataexfil,36.4,TA0008
2026-01-13 23:50,user2,dataexfil,38.5,TA0004
2026-01-13 20:37,guest,usbinsert,125.4,TA0008
2026-01-14 16:27,user1,usbinsert,97.9,TA0002
2026-01-14 15:31,guest,login,64.9,T1059
2026-01-14 05:41,user2,privilegeescalation,81.3,TA0004
2026-01-13 20:21,user1,privilegeescalation,102.3,T1078
2026-01-14 17:00,guest,usbinsert,73.0,TA0001
2026-01-14 00:16,user1,fileaccess,33.3,TA0008
2026-01-14 04:29,user2,dataexfil,51.3,TA0010
2026-01-13 21:02,user1,dataexfil,77.2,TA0002
2026-01-13 20:52,admin,fileaccess,64.7,TA0001
2026-01-14 00:09,user1,privilegeescalation,85.1,TA0002
2026-01-13 18:14,guest,login,44.9,TA0001
2026-01-13 19:47,user2,fileaccess,47.4,TA0010
2026-01-14 11:30,user2,privilegeescalation,132.2,TA0001
2026-01-13 21:27,guest,dataexfil,65.8,T1078
2026-01-13 20:51,guest,dataexfil,41.9,TA0008
2026-01-14 02:21,guest,login,58.5,T1059
2026-01-14 04:06,admin,privilegeescalation,90.9,T1078
2026-01-14 03:21,guest,dataexfil,66.7,TA0001
2026-01-14 04:54,user2,usbinsert,100.0,TA0002
2026-01-14 11:20,user1,usbinsert,121.8,T1059
2026-01-14 06:58,guest,privilegeescalation,102.2,TA0008
2026-01-14 10:12,admin,dataexfil,39.6,T1201
2026-01-14 13:50,guest,privilegeescalation,81.7,TA0002
2026-01-14 09:16,admin,usbinsert,92.2,TA0002
2026-01-13 21:07,user1,privilegeescalation,128.1,TA0004
2026-01-14 16:23,admin,fileaccess,22.9,T1059
2026-01-14 04:45,user2,usbinsert,108.8,TA0008
2026-01-14 00:44,user1,privilegeescalation,75.7,TA0001
2026-01-14 11:23,guest,fileaccess,66.6,T1201
2026-01-13 17:50,user2,usbinsert,120.5,T1078
2026-01-14 01:43,user2,privilegeescalation,114.7,TA0004
2026-01-13 18:23,guest,usbinsert,105.3,T1201
2026-01-14 00:15,guest,dataexfil,47.6,T1059
2026-01-13 20:49,admin,login,44.5,TA0008
2026-01-14 13:18,user1,fileaccess,61.7,TA0008
2026-01-14 02:41,admin,fileaccess,28.1,TA0010
2026-01-13 22:36,guest,dataexfil,75.0,TA0010
2026-01-14 09:59,guest,dataexfil,42.9,TA0004
2026-01-14 14:53,user2,fileaccess,24.2,TA0002
2026-01-13 20:41,guest,fileaccess,70.0,TA0001
2026-01-14 09:34,admin,login,21.7,TA0004
2026-01-14 08:15,user2,dataexfil,53.2,TA0002
2026-01-13 18:35,user2,login,26.7,TA0001
2026-01-14 12:33,admin,fileaccess,29.8,TA0008
2026-01-13 19:59,user2,privilegeescalation,66.2,TA0002
2026-01-13 20:58,admin,usbinsert,97.0,TA0008
2026-01-14 08:22,user2,dataexfil,47.4,T1059
2026-01-13 23:12,user1,fileaccess,44.1,TA0002
2026-01-14 09:20,guest,usbinsert,85.6,T1078
2026-01-14 13:19,guest,login,42.2,T1059
2026-01-13 17:44,user1,login,38.6,T1059
2026-01-14 04:08,guest,login,27.2,TA0001
2026-01-14 15:56,admin,privilegeescalation,115.6,T1059
2026-01-13 23:04,guest,usbinsert,90.9,TA0010
2026-01-13 17:52,admin,login,57.0,TA0001
2026-01-14 03:22,guest,login,67.0,T1059
2026-01-14 02:41,user2,privilegeescalation,110.2,T1078
2026-01-14 06:31,admin,login,25.8,TA0004
2026-01-14 10:22,user1,usbinsert,132.4,TA0008
2026-01-13 18:00,user2,usbinsert,125.8,TA0001
2026-01-14 01:49,admin,fileaccess,40.3,T1059
2026-01-13 23:26,admin,privilegeescalation,99.5,T1078
2026-01-13 18:33,user1,privilegeescalation,79.7,TA0010
2026-01-14 16:50,guest,privilegeescalation,115.1,TA0002
2026-01-14 14:02,admin,login,29.5,T1078
