timestamp,user,action,final_risk_score,mitre_tag
2026-01-14 07:11,user1,dataexfil,65.0,TA0004
2026-01-14 15:02,user1,usbinsert,113.6,TA0002
2026-01-13 21:28,guest,usbinsert,73.6,T1201
2026-01-14 15:59,guest,login,64.6,T1201
2026-01-14 02:56,admin,privilegeescalation,75.7,TA0010
2026-01-14 07:13,user2,login,43.1,TA0010
2026-01-13 21:04,guest,privilegeescalation,104.9,TA0001
2026-01-14 14:40,user1,dataexfil,37.1,TA0002
2026-01-13 20:30,user2,privilegeescalation,113.1,TA0001
2026-01-13 22:07,admin,login,36.1,T1059
2026-01-14 00:30,user2,privilegeescalation,101.0,TA0002
2026-01-14 01:36,admin,fileaccess,65.9,T1201
2026-01-14 17:25,user2,usbinsert,121.6,T1059
2026-01-14 07:23,admin,usbinsert,111.7,T1078
2026-01-14 07:10,admin,privilegeescalation,102.5,TA0008
2026-01-14 17:22,user2,usbinsert,111.9,T1078
2026-01-14 16:14,user2,usbinsert,90.0,TA0008
2026-01-14 00:34,user1,fileaccess,26.7,T1201
2026-01-14 04:23,guest,usbinsert,90.7,TA0010
2026-01-14 05:45,user2,dataexfil,37.1,TA0008
2026-01-14 10:32,admin,fileaccess,58.6,T1201
2026-01-14 13:04,admin,privilegeescalation,114.3,TA0002
2026-01-14 12:01,user2,dataexfil,55.1,T1078
2026-01-14 09:07,user1,privilegeescalation,120.1,TA0001
2026-01-14 14:12,admin,privilegeescalation,116.6,TA0004
2026-01-14 15:28,user2,login,58.1,T1059
2026-01-14 13:52,user2,usbinsert,112.5,TA0004
2026-01-14 05:38,user1,login,66.7,TA0004
2026-01-14 00:34,user1,fileaccess,44.0,TA0008
2026-01-14 01:59,user2,dataexfil,79.1,T1078
2026-01-13 18:21,user1,login,78.8,T1078
2026-01-14 03:13,admin,privilegeescalation,104.5,T1059
2026-01-13 23:57,admin,fileaccess,30.5,TA0004
2026-01-14 09:48,admin,usbinsert,79.7,TA0008
2026-01-14 12:09,user1,fileaccess,46.9,TA0008
2026-01-13 21:03,admin,fileaccess,23.2,TA0010
2026-01-14 12:28,user2,usbinsert,121.2,TA0004
2026-01-14 13:32,guest,usbinsert,112.6,TA0004
2026-01-13 21:55,user1,dataexfil,63.4,TA0002
2026-01-14 07:50,guest,usbinsert,103.3,TA0010
2026-01-14 10:14,user1,privilegeescalation,86.5,T1078
2026-01-14 07:23,guest,login,39.7,TA0010
2026-01-14 01:42,user2,fileaccess,60.6,T1078
2026-01-14 15:43,admin,dataexfil,69.6,T1059
2026-01-14 00:54,user1,login,71.2,T1078
2026-01-14 04:40,admin,fileaccess,64.6,TA0002
2026-01-13 18:45,admin,dataexfil,65.8,TA0004
2026-01-14 06:02,user1,privilegeescalation,88.1,TA0010
2026-01-14 09:15,guest,privilegeescalation,89.9,TA0002
2026-01-14 03:09,guest,fileaccess,68.2,TA0004
2026-01-13 21:30,user2,login,40.5,TA0001
2026-01-14 13:51,admin,usbinsert,91.3,TA0002
2026-01-14 04:10,user1,dataexfil,29.4,TA0001
2026-01-14 11:01,guest,login,37.7,TA0010
2026-01-14 00:53,admin,fileaccess,28.2,TA0004
2026-01-14 07:18,user2,fileaccess,67.9,T1059
2026-01-14 11:13,user2,usbinsert,102.3,TA0010
2026-01-14 16:34,user1,usbinsert,78.5,TA0008
2026-01-14 10:59,user2,dataexfil,76.0,T1201
2026-01-14 00:39,user2,fileaccess,29.7,TA0008
2026-01-14 02:49,user2,login,30.5,TA0010
2026-01-14 07:23,admin,usbinsert,103.5,T1059
2026-01-14 00:35,user2,dataexfil,61.3,TA0001
2026-01-13 18:09,user2,usbinsert,108.3,TA0001
2026-01-14 13:06,user2,privilegeescalation,95.8,TA0002
2026-01-14 06:34,admin,login,50.8,T1078
2026-01-14 05:26,user2,login,78.4,TA0002
